STATE,TRACT,P012A002,P012A026,P012B001,P012B002,P012B026,P012C001,P012C002,P012C026,P012D001,P012D002,P012D026,P012E001,P012E002,P012E026,P012F001,P012F002,P012F026,P012G001,P012G002,P012G026,P012H001,P012H002,P012H026,P012I001,P012I002,P012I026,P013001,P013A001,P013B001,P013C001,P013D001,P013E001,P013F001,P013G001,P013H001,P013I001,state,county,tract
42,427100,2652,2846,17,6,11,1,0,1,50,21,29,4,2,2,12,8,4,23,10,13,34,15,19,5471,2642,2829,40.7,40,43,11,31,39,31,28,31,40,42,003,427100
42,427200,2342,2745,25,15,10,7,2,5,24,10,14,0,0,0,7,4,3,30,18,12,23,13,10,5067,2331,2736,42.2,42,29,17,30,0,32,25,32,42,42,003,427200
42,428100,686,715,11,5,6,7,2,5,1,0,1,0,0,0,1,1,0,3,3,0,2,1,1,1400,686,714,40.9,41,19,8,54,0,49,23,34,41,42,003,428100
42,428200,1140,1234,41,18,23,0,0,0,10,5,5,0,0,0,5,3,2,2,2,0,15,9,6,2365,1135,1230,40.6,40,49,0,29,0,7,19,26,40,42,003,428200
42,429100,1228,1471,54,22,32,2,2,0,36,19,17,0,0,0,9,6,3,14,6,8,17,11,6,2690,1222,1468,39.1,39,34,45,28,0,32,9,29,39,42,003,429100
42,429201,1969,2188,68,28,40,3,1,2,206,100,106,3,1,2,7,4,3,19,7,12,42,23,19,4126,1951,2175,41.3,41,40,7,33,35,26,26,28,42,42,003,429201
42,429202,2130,2353,42,27,15,4,3,1,94,45,49,0,0,0,13,9,4,38,21,17,37,18,19,4461,2119,2342,42.8,43,31,24,36,0,23,17,34,43,42,003,429202
42,429300,2665,3123,33,21,12,5,3,2,41,19,22,5,4,1,3,2,1,14,8,6,34,17,17,5757,2650,3107,46.5,46,37,45,38,38,10,20,32,46,42,003,429300
42,429400,2139,2405,25,9,16,1,0,1,14,8,6,4,2,2,9,5,4,21,7,14,19,9,10,4528,2131,2397,42.5,42,35,30,45,29,33,48,33,42,42,003,429400
42,429500,1802,2187,87,50,37,5,2,3,151,81,70,4,2,2,8,3,5,30,8,22,41,17,24,3953,1788,2165,45.4,46,37,37,32,48,22,32,29,46,42,003,429500
42,429600,1453,1732,137,72,65,7,4,3,27,14,13,5,2,3,12,4,8,24,14,10,37,15,22,3161,1443,1718,37.8,38,32,24,28,14,28,30,30,38,42,003,429600
42,429700,1120,1260,17,9,8,0,0,0,17,6,11,0,0,0,4,2,2,4,1,3,10,6,4,2370,1114,1256,42.9,43,28,0,35,0,5,47,36,43,42,003,429700
42,430100,1076,1207,29,18,11,0,0,0,12,9,3,0,0,0,3,1,2,18,12,6,10,3,7,2277,1075,1202,35.3,35,33,0,26,0,26,8,31,35,42,003,430100
42,430200,2239,2582,39,20,19,5,2,3,26,8,18,0,0,0,10,7,3,31,20,11,29,16,13,4808,2233,2575,39.2,39,41,30,32,0,20,15,19,39,42,003,430200
42,431100,1490,1800,172,72,100,6,1,5,21,10,11,0,0,0,7,1,6,59,20,39,33,15,18,3274,1482,1792,34.9,35,32,26,27,0,37,22,19,35,42,003,431100
42,431400,754,975,62,30,32,5,2,3,6,5,1,0,0,0,1,0,1,19,6,13,10,6,4,1722,750,972,36.5,36,31,35,36,0,0,10,25,36,42,003,431400
42,431500,1415,1754,152,80,72,4,2,2,30,13,17,0,0,0,6,4,2,32,11,21,28,11,17,3149,1408,1741,38.2,38,35,25,28,0,18,16,22,38,42,003,431500
42,432300,953,1200,122,56,66,2,1,1,8,4,4,0,0,0,2,1,1,30,13,17,15,5,10,2139,948,1191,43.2,44,36,42,31,0,27,12,34,44,42,003,432300
42,432400,1293,1479,135,68,67,3,2,1,16,6,10,1,1,0,6,2,4,44,26,18,16,10,6,2759,1284,1475,39.3,40,29,33,29,19,22,21,26,40,42,003,432400
