STATE	TRACT	COUNTY	gisjoin	fid	AREALAND	POP100	H001001	H002001	H002005	H003001	H003002	H003003	P001001	P002001	P002002	P002005	P003001	P003002	P003003	P003004	P003005	P003006	P003007	P003008	P003009	P003010	P003026	P003047	P003063	P003070	P004001	P004002	P004003	P012001	P012002	P012026	P012A001	P012A002	P012A026	P012B001	P012B002	P012B026	P012C001	P012C002	P012C026	P012D001	P012D002	P012D026	P012E001	P012E002	P012E026	P012F001	P012F002	P012F026	P012G001	P012G002	P012G026	P012H001	P012H002	P012H026	P012I001	P012I002	P012I026	P013001	P013A001	P013B001	P013C001	P013D001	P013E001	P013F001	P013G001	P013H001	P013I001
42	491101	3	42003491101	13412	16833822	5132	2006	2006	0	2006	1914	92	5132	5132	0	0	5132	5104	4929	72	13	81	0	9	28	24	4	0	0	0	5132	48	5084	5132	2463	2669	4929	2374	2555	72	29	43	13	6	7	81	40	41	0	0	0	9	3	6	28	11	17	48	21	27	4896	2359	2537	38	39	29	26	35	0	26	14	26	39
42	491102	3	42003491102	14981	15722650	2298	955	955	0	955	915	40	2298	2298	0	0	2298	2290	2255	27	2	4	0	2	8	8	0	0	0	0	2298	11	2287	2298	1134	1164	2255	1120	1135	27	11	16	2	1	1	4	0	4	0	0	0	2	0	2	8	2	6	11	5	6	2246	1115	1131	41	42	40	39	25	0	27	3	27	42
42	491200	3	42003491200	14942	10349447	2236	993	993	0	993	952	41	2236	2236	0	0	2236	2221	2169	28	1	20	0	3	15	15	0	0	0	0	2236	8	2228	2236	1026	1210	2169	991	1178	28	14	14	1	1	0	20	10	10	0	0	0	3	2	1	15	8	7	8	3	5	2164	990	1174	43	43	44	83	39	0	38	25	35	43
42	492700	3	42003492700	13582	3887501	2533	1225	1225	0	1225	1075	150	2533	2533	0	0	2533	2506	2239	252	3	7	0	5	27	24	3	0	0	0	2533	17	2516	2533	1215	1318	2239	1071	1168	252	121	131	3	1	2	7	3	4	0	0	0	5	3	2	27	16	11	17	9	8	2229	1065	1164	43	44	39	52	32	0	13	4	49	44
42	492800	3	42003492800	13439	1627633	3117	1638	1638	0	1638	1328	310	3117	3117	0	0	3117	3054	1345	1695	3	1	0	10	63	58	3	1	0	1	3117	27	3090	3117	1359	1758	1345	608	737	1695	720	975	3	1	2	1	0	1	0	0	0	10	2	8	63	28	35	27	11	16	1336	605	731	43	50	37	40	60	0	19	16	20	50
42	492900	3	42003492900	14943	1642996	2841	1487	1487	0	1487	1307	180	2841	2841	0	0	2841	2761	2285	458	3	6	0	9	80	74	5	1	0	0	2841	18	2823	2841	1294	1547	2285	1049	1236	458	199	259	3	1	2	6	4	2	0	0	0	9	6	3	80	35	45	18	8	10	2275	1046	1229	39	43	22	6	47	0	22	10	42	43
42	493000	3	42003493000	13031	529323	565	279	279	0	279	247	32	565	565	0	0	565	564	561	1	0	2	0	0	1	1	0	0	0	0	565	0	565	565	262	303	561	260	301	1	0	1	0	0	0	2	1	1	0	0	0	0	0	0	1	1	0	0	0	0	561	260	301	37	37	51	0	22	0	0	61	0	37
42	494000	3	42003494000	13120	916937	1609	758	758	0	758	681	77	1609	1609	0	0	1609	1593	1526	58	6	3	0	0	16	16	0	0	0	0	1609	4	1605	1609	726	883	1526	695	831	58	23	35	6	3	3	3	0	3	0	0	0	0	0	0	16	5	11	4	0	4	1523	695	828	39	39	43	18	41	0	0	19	11	39
42	495000	3	42003495000	12869	49016456	3771	1616	1616	0	1616	1485	131	3771	3771	0	0	3771	3743	3681	41	5	12	1	3	28	24	4	0	0	0	3771	12	3759	3771	1832	1939	3681	1788	1893	41	22	19	5	1	4	12	4	8	1	1	0	3	2	1	28	14	14	12	6	6	3672	1783	1889	41	42	32	41	38	45	8	23	32	42
42	496101	3	42003496101	14115	11625872	3257	1222	1222	0	1222	1183	39	3257	3257	0	0	3257	3243	3202	33	0	3	0	5	14	12	2	0	0	0	3257	6	3251	3257	1545	1712	3202	1523	1679	33	14	19	0	0	0	3	0	3	0	0	0	5	1	4	14	7	7	6	2	4	3196	1521	1675	42	43	49	0	28	0	22	27	32	43
42	496102	3	42003496102	12647	32470253	4582	1930	1930	0	1930	1859	71	4582	4582	0	0	4582	4559	4397	135	1	15	2	9	23	18	0	0	0	5	4582	12	4570	4582	2194	2388	4397	2109	2288	135	63	72	1	0	1	15	6	9	2	1	1	9	3	6	23	12	11	12	6	6	4390	2106	2284	45	46	44	8	40	41	12	15	32	46
42	496200	3	42003496200	14535	14320160	6000	2526	2526	0	2526	2425	101	6000	6000	0	0	6000	5973	5874	66	5	18	0	10	27	27	0	0	0	0	6000	33	5967	6000	2902	3098	5874	2843	3031	66	32	34	5	2	3	18	9	9	0	0	0	10	3	7	27	13	14	33	16	17	5850	2832	3018	42	42	29	20	57	0	19	21	19	42
42	497000	3	42003497000	14924	12426823	1218	506	506	0	506	484	22	1218	1218	0	0	1218	1216	1203	8	1	4	0	0	2	2	0	0	0	0	1218	9	1209	1218	584	634	1203	575	628	8	5	3	1	1	0	4	1	3	0	0	0	0	0	0	2	2	0	9	4	5	1194	571	623	43	42	75	49	36	0	0	28	13	43
42	498000	3	42003498000	14523	3724465	2670	1162	1162	0	1162	1125	37	2670	2670	0	0	2670	2662	2616	39	3	3	1	0	8	7	1	0	0	0	2670	10	2660	2670	1255	1415	2616	1230	1386	39	19	20	3	1	2	3	1	2	1	0	1	0	0	0	8	4	4	10	7	3	2607	1223	1384	42	42	47	48	53	29	0	34	16	42
42	499300	3	42003499300	13485	2178306	1729	796	796	0	796	746	50	1729	1729	0	0	1729	1715	1695	10	2	3	3	2	14	10	3	0	1	0	1729	16	1713	1729	823	906	1695	809	886	10	5	5	2	1	1	3	0	3	3	0	3	2	1	1	14	7	7	16	10	6	1686	803	883	43	44	46	24	41	12	31	11	11	44
42	499400	3	42003499400	13486	2178066	3264	1609	1609	0	1609	1441	168	3264	3264	0	0	3264	3253	3210	18	12	6	0	7	11	10	1	0	0	0	3264	25	3239	3264	1525	1739	3210	1499	1711	18	11	7	12	5	7	6	1	5	0	0	0	7	3	4	11	6	5	25	14	11	3194	1489	1705	40	41	32	36	39	0	25	43	25	41
42	500300	3	42003500300	14944	2838084	4228	1940	1940	0	1940	1826	114	4228	4228	0	0	4228	4212	4175	29	1	1	1	5	16	16	0	0	0	0	4228	32	4196	4228	2027	2201	4175	1994	2181	29	20	9	1	0	1	1	0	1	1	1	0	5	2	3	16	10	6	32	16	16	4148	1981	2167	42	42	17	46	60	23	11	17	36	42
42	501000	3	42003501000	14524	1271713	1724	937	937	0	937	852	85	1724	1724	0	0	1724	1707	1653	44	3	6	0	1	17	16	1	0	0	0	1724	13	1711	1724	768	956	1653	738	915	44	17	27	3	3	0	6	2	4	0	0	0	1	1	0	17	7	10	13	6	7	1642	733	909	45	46	25	54	22	0	39	17	33	46
42	502000	3	42003502000	14114	2230371	351	162	162	0	162	151	11	351	351	0	0	351	351	351	0	0	0	0	0	0	0	0	0	0	0	351	1	350	351	174	177	351	174	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	350	173	177	45	45	0	0	0	0	0	0	29	45
42	503001	3	42003503001	14320	11840085	2007	910	910	0	910	877	33	2007	2007	0	0	2007	1998	1957	35	0	4	0	2	9	9	0	0	0	0	2007	6	2001	2007	973	1034	1957	950	1007	35	19	16	0	0	0	4	2	2	0	0	0	2	0	2	9	2	7	6	2	4	1952	948	1004	42	42	24	0	47	0	15	7	59	42
42	503002	3	42003503002	13440	5419117	6425	2909	2909	0	2909	2799	110	6425	6425	0	0	6425	6397	6239	122	1	26	1	8	28	27	1	0	0	0	6425	28	6397	6425	3014	3411	6239	2932	3307	122	57	65	1	0	1	26	11	15	1	1	0	8	4	4	28	9	19	28	13	15	6215	2919	3296	45	46	19	50	29	48	16	32	44	46
42	504100	3	42003504100	15121	8776817	5746	2701	2701	0	2701	2541	160	5746	5746	0	0	5746	5627	4641	935	4	28	2	17	119	109	10	0	0	0	5746	34	5712	5746	2624	3122	4641	2138	2503	935	414	521	4	1	3	28	9	19	2	1	1	17	10	7	119	51	68	34	16	18	4626	2128	2498	41	43	32	34	28	35	10	13	22	43
42	504400	3	42003504400	14560	12225467	5379	2526	2526	0	2526	2392	134	5379	5379	0	0	5379	5348	5128	152	3	57	1	7	31	28	3	0	0	0	5379	20	5359	5379	2626	2753	5128	2508	2620	152	71	81	3	2	1	57	25	32	1	0	1	7	5	2	31	15	16	20	11	9	5121	2503	2618	42	43	32	43	29	15	12	7	34	43
42	505000	3	42003505000	14055	465786	31	10	10	0	10	10	0	31	31	0	0	31	31	31	0	0	0	0	0	0	0	0	0	0	0	31	0	31	31	15	16	31	15	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	15	16	36	36	0	0	0	0	0	0	0	36
42	506000	3	42003506000	12923	1147420	727	363	363	0	363	324	39	727	727	0	0	727	723	707	15	0	1	0	0	4	4	0	0	0	0	727	2	725	727	345	382	707	332	375	15	10	5	0	0	0	1	1	0	0	0	0	0	0	0	4	2	2	2	1	1	705	331	374	40	40	36	0	50	0	0	16	36	40
42	507000	3	42003507000	14786	1020241	2343	1154	1154	0	1154	1078	76	2343	2343	0	0	2343	2318	2241	67	3	3	0	4	25	22	3	0	0	0	2343	16	2327	2343	1121	1222	2241	1065	1176	67	35	32	3	1	2	3	1	2	0	0	0	4	0	4	25	19	6	16	7	9	2226	1059	1167	41	42	29	26	43	0	5	16	25	42
42	508000	3	42003508000	14533	1159901	2145	1199	1199	0	1199	1032	167	2145	2145	0	0	2145	2110	1959	136	3	5	0	7	35	33	2	0	0	0	2145	27	2118	2145	972	1173	1959	882	1077	136	66	70	3	2	1	5	3	2	0	0	0	7	5	2	35	14	21	27	15	12	1937	870	1067	39	40	31	52	35	0	8	16	14	41
42	509400	3	42003509400	14354	2536077	6076	2969	2969	0	2969	2717	252	6076	6076	0	0	6076	5998	5633	314	5	37	0	9	78	76	2	0	0	0	6076	37	6039	6076	2726	3350	5633	2542	3091	314	136	178	5	1	4	37	19	18	0	0	0	9	5	4	78	23	55	37	21	16	5609	2528	3081	40	42	21	35	27	0	24	7	22	42
42	510000	3	42003510000	15120	1011712	2017	1107	1107	0	1107	936	171	2017	2017	0	0	2017	1973	1535	422	7	2	1	6	44	40	4	0	0	0	2017	10	2007	2017	888	1129	1535	691	844	422	174	248	7	4	3	2	0	2	1	1	0	6	1	5	44	17	27	10	9	1	1528	685	843	36	42	17	42	11	31	7	6	32	42
42	511000	3	42003511000	13023	409792	870	449	449	0	449	407	42	870	870	0	0	870	858	813	33	2	6	1	3	12	10	1	1	0	0	870	4	866	870	447	423	813	420	393	33	16	17	2	1	1	6	4	2	1	0	1	3	2	1	12	4	8	4	3	1	812	419	393	41	42	20	36	41	90	27	14	30	42
42	512000	3	42003512000	14414	1337143	2733	1328	1328	0	1328	1171	157	2733	2733	0	0	2733	2704	2378	309	0	4	1	12	29	27	2	0	0	0	2733	25	2708	2733	1320	1413	2378	1151	1227	309	148	161	0	0	0	4	1	3	1	0	1	12	3	9	29	17	12	25	8	17	2370	1147	1223	41	43	26	0	36	66	12	9	17	43
42	512800	3	42003512800	13910	2166168	1890	1094	1094	0	1094	775	319	1890	1890	0	0	1890	1840	859	952	5	15	1	8	50	47	2	1	0	0	1890	31	1859	1890	887	1003	859	406	453	952	444	508	5	3	2	15	6	9	1	0	1	8	3	5	50	25	25	31	15	16	845	401	444	37	49	27	22	34	28	16	17	21	49
42	512900	3	42003512900	14410	491813	1787	828	828	0	828	685	143	1787	1787	0	0	1787	1746	718	1002	6	1	1	18	41	37	4	0	0	0	1787	24	1763	1787	817	970	718	323	395	1002	457	545	6	4	2	1	0	1	1	1	0	18	11	7	41	21	20	24	18	6	710	316	394	35	44	27	44	43	28	10	12	16	45
42	513800	3	42003513800	13572	1461660	2912	1624	1624	0	1624	1161	463	2912	2912	0	0	2912	2845	877	1937	4	7	0	20	67	53	13	1	0	0	2912	44	2868	2912	1332	1580	877	416	461	1937	877	1060	4	2	2	7	1	6	0	0	0	20	13	7	67	23	44	44	23	21	872	413	459	36	52	29	45	42	0	16	14	20	52
42	514000	3	42003514000	14386	1131391	2315	1126	1126	0	1126	1002	124	2315	2315	0	0	2315	2269	648	1605	3	4	0	9	46	30	16	0	0	0	2315	8	2307	2315	938	1377	648	271	377	1605	640	965	3	1	2	4	2	2	0	0	0	9	4	5	46	20	26	8	7	1	648	271	377	32	50	25	17	20	0	10	15	21	50
42	515100	3	42003515100	15607	1114370	3104	1586	1586	0	1586	1413	173	3104	3104	0	0	3104	3065	1962	1067	6	14	0	16	39	37	2	0	0	0	3104	16	3088	3104	1452	1652	1962	926	1036	1067	496	571	6	2	4	14	5	9	0	0	0	16	7	9	39	16	23	16	7	9	1956	924	1032	37	43	27	28	28	0	6	24	24	43
42	515200	3	42003515200	15605	554783	2245	1246	1246	0	1246	1178	68	2245	2245	0	0	2245	2208	1793	365	0	37	0	13	37	29	8	0	0	0	2245	14	2231	2245	1045	1200	1793	847	946	365	157	208	0	0	0	37	17	20	0	0	0	13	8	5	37	16	21	14	10	4	1785	841	944	38	40	30	0	30	0	17	22	41	40
42	515300	3	42003515300	15606	837325	2026	1103	1103	0	1103	1001	102	2026	2026	0	0	2026	1979	1426	520	4	9	2	18	47	37	8	2	0	0	2026	35	1991	2026	870	1156	1426	606	820	520	230	290	4	4	0	9	4	5	2	0	2	18	9	9	47	17	30	35	13	22	1416	602	814	40	47	28	30	38	24	44	16	18	47
42	515400	3	42003515400	15107	387804	1645	844	844	0	844	782	62	1645	1645	0	0	1645	1611	1400	172	1	23	4	11	34	29	5	0	0	0	1645	28	1617	1645	748	897	1400	634	766	172	78	94	1	1	0	23	5	18	4	2	2	11	7	4	34	21	13	28	13	15	1383	627	756	40	42	30	25	39	28	23	19	28	42
42	515500	3	42003515500	15106	210678	633	318	318	0	318	305	13	633	633	0	0	633	624	606	13	0	5	0	0	9	9	0	0	0	0	633	9	624	633	304	329	606	293	313	13	6	7	0	0	0	5	2	3	0	0	0	0	0	0	9	3	6	9	3	6	597	290	307	38	40	19	0	27	0	0	32	34	40
42	516100	3	42003516100	15602	713389	1545	803	803	0	803	776	27	1545	1545	0	0	1545	1532	1432	66	0	22	1	11	13	13	0	0	0	0	1545	24	1521	1545	724	821	1432	659	773	66	38	28	0	0	0	22	12	10	1	0	1	11	6	5	13	9	4	24	11	13	1416	652	764	40	40	33	0	33	34	28	18	32	40
42	516200	3	42003516200	14033	817899	1766	927	927	0	927	863	64	1766	1766	0	0	1766	1752	1519	194	4	27	2	6	14	11	0	3	0	0	1766	21	1745	1766	805	961	1519	703	816	194	79	115	4	2	2	27	12	15	2	1	1	6	2	4	14	6	8	21	8	13	1506	697	809	40	41	34	54	27	42	28	20	27	41
