STATE,TRACT,AREALAND,POP100,H001001,H002001,H002005,H003001,H003002,H003003,P001001,P002001,P002002,P002005,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P003009,P003010,P003026,P003047,P003063,P003070,P004001,P004002,P004003,P012001,P012002,P012026,P012A001,state,county,tract
42,130400,0000000481322,00001734,887,887,0,887,690,197,1734,1734,0,0,1734,1711,11,1690,3,2,0,5,23,19,4,0,0,0,1734,7,1727,1734,786,948,11,42,003,130400
42,130600,0000001390176,00003951,1890,1890,0,1890,1556,334,3951,3951,0,0,3951,3873,115,3706,12,9,0,31,78,53,16,1,8,0,3951,35,3916,3951,1645,2306,115,42,003,130600
42,140100,0000001460535,00005538,1117,1117,0,1117,1059,58,5538,5538,0,0,5538,5430,3899,184,13,948,8,378,108,105,3,0,0,0,5538,157,5381,5538,3359,2179,3899,42,003,140100
42,140200,0000000779772,00002435,1281,1281,0,1281,1191,90,2435,2435,0,0,2435,2378,1771,120,1,465,1,20,57,52,4,1,0,0,2435,52,2383,2435,1112,1323,1771,42,003,140200
42,140300,0000000955761,00003422,1571,1571,0,1571,1511,60,3422,3422,0,0,3422,3383,3113,88,1,163,1,17,39,39,0,0,0,0,3422,46,3376,3422,1645,1777,3113,42,003,140300
42,140400,0000000862130,00002356,1003,1003,0,1003,965,38,2356,2356,0,0,2356,2329,2206,47,4,61,0,11,27,26,1,0,0,0,2356,38,2318,2356,1102,1254,2206,42,003,140400
42,140500,0000000782899,00002304,1208,1208,0,1208,1057,151,2304,2304,0,0,2304,2253,634,1564,9,37,0,9,51,50,1,0,0,0,2304,27,2277,2304,1054,1250,634,42,003,140500
42,140600,0000001781180,00003309,1562,1562,0,1562,1476,86,3309,3309,0,0,3309,3255,2867,286,3,86,2,11,54,52,2,0,0,0,3309,42,3267,3309,1611,1698,2867,42,003,140600
42,140800,0000002391414,00004383,1998,1998,0,1998,1919,79,4383,4383,0,0,4383,4327,3940,118,4,231,1,33,56,53,3,0,0,0,4383,95,4288,4383,2177,2206,3940,42,003,140800
42,141000,0000000529037,00001131,562,562,0,562,543,19,1131,1131,0,0,1131,1117,1062,35,1,17,0,2,14,14,0,0,0,0,1131,9,1122,1131,509,622,1062,42,003,141000
42,141100,0000001334273,00001378,627,627,0,627,607,20,1378,1378,0,0,1378,1371,1335,22,0,9,0,5,7,7,0,0,0,0,1378,13,1365,1378,659,719,1335,42,003,141100
42,141300,0000002444006,00004950,2575,2575,0,2575,2468,107,4950,4950,0,0,4950,4886,4190,229,5,416,6,40,64,55,8,1,0,0,4950,134,4816,4950,2271,2679,4190,42,003,141300
42,141400,0000002085961,00005174,2496,2496,0,2496,2396,100,5174,5174,0,0,5174,5075,4557,150,6,326,0,36,99,97,2,0,0,0,5174,93,5081,5174,2428,2746,4557,42,003,141400
42,150100,0000002316165,00001948,999,999,0,999,838,161,1948,1948,0,0,1948,1922,1461,450,1,8,0,2,26,26,0,0,0,0,1948,14,1934,1948,916,1032,1461,42,003,150100
42,150400,0000001085645,00000805,287,287,0,287,270,17,805,805,0,0,805,786,192,583,9,1,0,1,19,18,1,0,0,0,805,6,799,805,255,550,192,42,003,150400
42,151500,0000001912311,00003386,1747,1747,0,1747,1451,296,3386,3386,0,0,3386,3335,1888,1385,11,23,0,28,51,43,8,0,0,0,3386,54,3332,3386,1526,1860,1888,42,003,151500
42,151600,0000000835078,00002608,1291,1291,0,1291,1184,107,2608,2608,0,0,2608,2596,2550,25,8,12,0,1,12,12,0,0,0,0,2608,18,2590,2608,1211,1397,2550,42,003,151600
42,151700,0000001185327,00005224,2582,2582,0,2582,2430,152,5224,5224,0,0,5224,5145,4762,178,10,164,1,30,79,71,8,0,0,0,5224,93,5131,5224,2498,2726,4762,42,003,151700
42,160300,0000001256639,00001999,880,880,0,880,805,75,1999,1999,0,0,1999,1984,1719,258,1,4,1,1,15,15,0,0,0,0,1999,7,1992,1999,957,1042,1719,42,003,160300
42,160400,0000000284363,00000238,557,557,0,557,116,441,238,238,0,0,238,234,47,185,1,0,0,1,4,3,1,0,0,0,238,2,236,238,89,149,47,42,003,160400
42,160600,0000000813573,00001453,768,768,0,768,440,328,1453,1453,0,0,1453,1427,190,1221,6,0,0,10,26,20,5,0,1,0,1453,17,1436,1453,575,878,190,42,003,160600
42,160700,0000000279432,00000584,246,246,0,246,216,30,584,584,0,0,584,578,464,113,1,0,0,0,6,6,0,0,0,0,584,0,584,584,272,312,464,42,003,160700
42,160800,0000001043166,00002961,1492,1492,0,1492,1326,166,2961,2961,0,0,2961,2921,2767,134,4,10,0,6,40,20,19,0,0,1,2961,17,2944,2961,1452,1509,2767,42,003,160800
42,160900,0000001299498,00002181,1378,1378,0,1378,1178,200,2181,2181,0,0,2181,2165,2055,87,5,13,0,5,16,16,0,0,0,0,2181,23,2158,2181,1027,1154,2055,42,003,160900
42,170200,0000001198690,00003545,2235,2235,0,2235,1956,279,3545,3545,0,0,3545,3501,3399,60,5,28,5,4,44,41,3,0,0,0,3545,51,3494,3545,1801,1744,3399,42,003,170200
42,170600,0000000798368,00002046,1088,1088,0,1088,934,154,2046,2046,0,0,2046,2030,1924,86,2,12,2,4,16,16,0,0,0,0,2046,19,2027,2046,1061,985,1924,42,003,170600
42,180300,0000000797404,00003220,1505,1505,0,1505,1302,203,3220,3220,0,0,3220,3154,2497,643,2,9,0,3,66,60,6,0,0,0,3220,22,3198,3220,1483,1737,2497,42,003,180300
42,180600,0000000799048,00000889,404,404,0,404,378,26,889,889,0,0,889,882,857,17,0,7,0,1,7,7,0,0,0,0,889,2,887,889,409,480,857,42,003,180600
42,180700,0000000378866,00002349,1085,1085,0,1085,989,96,2349,2349,0,0,2349,2332,1998,308,5,16,0,5,17,17,0,0,0,0,2349,16,2333,2349,1185,1164,1998,42,003,180700
42,180900,0000001096672,00002783,1298,1298,0,1298,1074,224,2783,2783,0,0,2783,2691,346,2288,15,17,3,22,92,69,23,0,0,0,2783,43,2740,2783,1287,1496,346,42,003,180900
42,190300,0000000816675,00002159,1258,1258,0,1258,1133,125,2159,2159,0,0,2159,2143,2080,42,4,7,0,10,16,16,0,0,0,0,2159,14,2145,2159,1044,1115,2080,42,003,190300
42,191100,0000001559716,00002696,1417,1417,0,1417,1276,141,2696,2696,0,0,2696,2654,2540,66,1,41,2,4,42,42,0,0,0,0,2696,17,2679,2696,1307,1389,2540,42,003,191100
42,191400,0000001024886,00003061,1728,1728,0,1728,1533,195,3061,3061,0,0,3061,3014,2798,180,9,17,1,9,47,44,3,0,0,0,3061,25,3036,3061,1500,1561,2798,42,003,191400
42,191500,0000000798262,00002309,1180,1180,0,1180,1064,116,2309,2309,0,0,2309,2286,2151,102,2,21,1,9,23,21,2,0,0,0,2309,24,2285,2309,1156,1153,2151,42,003,191500
42,191600,0000002458143,00004661,2120,2120,0,2120,1975,145,4661,4661,0,0,4661,4581,4155,354,11,35,0,26,80,77,3,0,0,0,4661,71,4590,4661,2232,2429,4155,42,003,191600
42,191700,0000001905704,00003634,1632,1632,0,1632,1558,74,3634,3634,0,0,3634,3602,3469,89,3,30,4,7,32,27,4,1,0,0,3634,28,3606,3634,1715,1919,3469,42,003,191700
42,191800,0000001461064,00005818,2545,2545,0,2545,2451,94,5818,5818,0,0,5818,5759,5628,52,6,59,0,14,59,55,4,0,0,0,5818,56,5762,5818,2676,3142,5628,42,003,191800
42,191900,0000000595822,00002447,1095,1095,0,1095,1024,71,2447,2447,0,0,2447,2416,2353,36,1,19,0,7,31,29,2,0,0,0,2447,25,2422,2447,1134,1313,2353,42,003,191900
42,192000,0000001385637,00004111,1928,1928,0,1928,1821,107,4111,4111,0,0,4111,4076,3832,148,8,52,2,34,35,35,0,0,0,0,4111,76,4035,4111,1911,2200,3832,42,003,192000
42,192100,0000000573931,00000056,40,40,0,40,30,10,56,56,0,0,56,53,38,13,0,0,0,2,3,3,0,0,0,0,56,0,56,56,29,27,38,42,003,192100
42,201600,0000000963630,00000530,233,233,0,233,231,2,530,530,0,0,530,524,509,9,0,1,0,5,6,6,0,0,0,0,530,9,521,530,251,279,509,42,003,201600
42,201700,0000000611508,00000495,231,231,0,231,189,42,495,495,0,0,495,489,395,87,3,1,0,3,6,6,0,0,0,0,495,2,493,495,219,276,395,42,003,201700
42,201800,0000001391313,00003053,1294,1294,0,1294,1146,148,3053,3053,0,0,3053,2983,2177,760,8,16,0,22,70,52,6,0,12,0,3053,26,3027,3053,1440,1613,2177,42,003,201800
42,201900,0000000554246,00000466,211,211,0,211,149,62,466,466,0,0,466,465,292,165,0,6,0,2,1,1,0,0,0,0,466,3,463,466,201,265,292,42,003,201900
42,202000,0000001609620,00002954,1415,1415,0,1415,1239,176,2954,2954,0,0,2954,2903,2406,437,8,15,1,36,51,46,5,0,0,0,2954,45,2909,2954,1414,1540,2406,42,003,202000
42,202100,0000000353700,00000595,238,238,0,238,232,6,595,595,0,0,595,591,150,431,1,0,0,9,4,4,0,0,0,0,595,3,592,595,274,321,150,42,003,202100
42,202200,0000000893252,00002996,1327,1327,0,1327,1239,88,2996,2996,0,0,2996,2945,2388,517,2,26,0,12,51,46,5,0,0,0,2996,29,2967,2996,1392,1604,2388,42,003,202200
42,202300,0000002576400,00004540,2203,2203,0,2203,2079,124,4540,4540,0,0,4540,4434,4055,158,4,200,1,16,106,101,5,0,0,0,4540,51,4489,4540,2168,2372,4055,42,003,202300
42,210700,0000000702750,00002506,1348,1348,0,1348,1084,264,2506,2506,0,0,2506,2463,303,2143,2,7,0,8,43,41,2,0,0,0,2506,16,2490,2506,1088,1418,303,42,003,210700
42,210800,0000001070674,00000039,29,29,0,29,27,2,39,39,0,0,39,37,13,24,0,0,0,0,2,2,0,0,0,0,39,0,39,39,20,19,13,42,003,210800
42,220100,0000000202266,00000508,390,390,0,390,308,82,508,508,0,0,508,502,385,105,2,7,0,3,6,6,0,0,0,0,508,11,497,508,296,212,385,42,003,220100
42,220400,0000000518350,00000886,675,675,0,675,465,210,886,886,0,0,886,872,458,386,4,17,1,6,14,12,2,0,0,0,886,11,875,886,445,441,458,42,003,220400
42,220500,0000001013662,00000270,251,251,0,251,154,97,270,270,0,0,270,261,226,23,0,12,0,0,9,9,0,0,0,0,270,3,267,270,177,93,226,42,003,220500
42,220600,0000000423658,00001938,1238,1238,0,1238,1001,237,1938,1938,0,0,1938,1896,1005,858,4,14,0,15,42,41,1,0,0,0,1938,44,1894,1938,1057,881,1005,42,003,220600
42,230400,0000000577916,00002635,1735,1735,0,1735,1396,339,2635,2635,0,0,2635,2587,1882,638,7,30,4,26,48,45,3,0,0,0,2635,44,2591,2635,1340,1295,1882,42,003,230400
42,240600,0000001124965,00002540,1415,1415,0,1415,1202,213,2540,2540,0,0,2540,2520,2471,33,2,7,2,5,20,20,0,0,0,0,2540,28,2512,2540,1215,1325,2471,42,003,240600
42,241200,0000000720175,00001254,621,621,0,621,517,104,1254,1254,0,0,1254,1226,1119,93,2,8,0,4,28,20,8,0,0,0,1254,4,1250,1254,592,662,1119,42,003,241200
42,250300,0000000246070,00001262,754,754,0,754,551,203,1262,1262,0,0,1262,1240,312,920,0,3,0,5,22,22,0,0,0,0,1262,8,1254,1262,615,647,312,42,003,250300
42,250700,0000000556540,00000973,450,450,0,450,384,66,973,973,0,0,973,952,190,757,1,0,1,3,21,21,0,0,0,0,973,14,959,973,444,529,190,42,003,250700
42,250900,0000000677951,00001751,856,856,0,856,746,110,1751,1751,0,0,1751,1703,828,859,4,4,0,8,48,33,9,6,0,0,1751,30,1721,1751,775,976,828,42,003,250900
42,260200,0000002444502,00002772,1226,1226,0,1226,1097,129,2772,2772,0,0,2772,2706,2174,491,5,25,0,11,66,59,6,1,0,0,2772,32,2740,2772,1312,1460,2174,42,003,260200
